#      n_Li         E_nn       E_site            f          f_I          D_t       D_c oll       n_oct        n_tet

# E_nn = 0.0 E_site = 0.0
        575          0.0          3.0         0.25        1.001    1.994e-11    7.985e-11       383.02       191.98

# E_nn = 0.0 E_site = 4.0
          1          0.0          4.0        0.989        0.989    3.299E-08    3.299E-08         0.04         0.96
         32          0.0          4.0        0.794        0.860    2.623E-08    2.842E-08         1.33        30.67
         64          0.0          4.0        0.612        0.717    1.994E-08    2.335E-08         3.21        60.79
         96          0.0          4.0        0.461        0.573    1.471E-08    1.827E-08         6.06        89.94
        128          0.0          4.0        0.346        0.466    1.064E-08    1.434E-08        10.79       117.21
        160          0.0          4.0        0.274        0.400    7.926E-09    1.158E-08        19.01       140.99
        192          0.0          4.0        0.243        0.356    6.371E-09    9.328E-09        32.74       159.26
        224          0.0          4.0        0.249        0.375    5.678E-09    8.546E-09        52.62       171.38
        256          0.0          4.0        0.273        0.429    5.259E-09    8.257E-09        77.35       178.65
        288          0.0          4.0        0.302        0.510    4.827E-09    8.138E-09       105.05       182.95
        320          0.0          4.0        0.327        0.577    4.266E-09    7.525E-09       134.36       185.64
        352          0.0          4.0        0.345        0.668    3.634E-09    7.034E-09       164.58       187.42
        384          0.0          4.0        0.355        0.713    2.961E-09    5.955E-09       195.33       188.67
        416          0.0          4.0        0.355        0.786    2.296E-09    5.087E-09       226.41       189.59
        448          0.0          4.0        0.348        0.829    1.682E-09    4.004E-09       257.70       190.30
        480          0.0          4.0        0.335        0.889    1.137E-09    3.020E-09       289.14       190.86
        512          0.0          4.0        0.314        0.944    6.684E-10    2.012E-09       320.69       191.31
        544          0.0          4.0        0.286        0.959    2.872E-10    9.645E-10       352.32       191.68
        575          0.0          4.0        0.251        0.980    7.466E-12    2.919E-11       383.01       191.99

# E_nn = 0.0 E_site = 5.0
          1          0.0          5.0        0.997        0.997    1.252E-08    1.252E-08         0.01         0.99
         32          0.0          5.0        0.778        0.799    9.732E-09    9.990E-09         0.50        31.50
         64          0.0          5.0        0.587        0.683    7.302E-09    8.498E-09         1.25        62.75
         96          0.0          5.0        0.419        0.551    5.159E-09    6.792E-09         2.45        93.55
        128          0.0          5.0        0.285        0.397    3.443E-09    4.796E-09         4.81       123.19
        160          0.0          5.0        0.196        0.284    2.272E-09    3.289E-09        10.24       149.76
        192          0.0          5.0        0.164        0.234    1.736E-09    2.474E-09        22.45       169.55
        224          0.0          5.0        0.185        0.277    1.681E-09    2.522E-09        43.45       180.55
        256          0.0          5.0        0.228        0.361    1.722E-09    2.724E-09        70.23       185.77
        288          0.0          5.0        0.272        0.448    1.669E-09    2.755E-09        99.83       188.17
        320          0.0          5.0        0.308        0.542    1.531E-09    2.696E-09       130.53       189.47
        352          0.0          5.0        0.331        0.599    1.319E-09    2.387E-09       161.77       190.23
        384          0.0          5.0        0.346        0.690    1.086E-09    2.165E-09       193.27       190.73
        416          0.0          5.0        0.351        0.772    8.485E-10    1.867E-09       224.91       191.09
        448          0.0          5.0        0.346        0.844    6.240E-10    1.521E-09       256.64       191.36
        480          0.0          5.0        0.332        0.856    4.200E-10    1.083E-09       288.43       191.57
        512          0.0          5.0        0.312        0.913    2.471E-10    7.219E-10       320.26       191.74
        544          0.0          5.0        0.286        0.978    1.065E-10    3.645E-10       352.12       191.88
        575          0.0          5.0        0.251        0.987    2.761E-12    1.087E-11       383.00       192.00

# E_nn = 0.5 E_site = 0.0
          1          0.5          0.0        1.002        1.002    6.303E-07    6.303E-07     6.67E-01     3.33E-01
         32          0.5          0.0        0.936        0.990     5.41E-07     5.73E-07        21.64        10.36
         64          0.5          0.0        0.875        0.975    4.631E-07    5.156E-07        43.96        20.04
         96          0.5          0.0        0.823        0.978    3.963E-07    4.713E-07        66.93        29.07
        128          0.5          0.0        0.776        0.973    3.390E-07    4.252E-07        90.56        37.44
        160          0.5          0.0        0.731        0.962    2.887E-07    3.795E-07       114.78        45.22
        192          0.5          0.0        0.690        0.983    2.446E-07    3.488E-07       139.42        52.58
        224          0.5          0.0        0.649        0.987    2.055E-07    3.122E-07       164.36        59.64
        256          0.5          0.0        0.610        0.989    1.710E-07    2.770E-07       189.29        66.71
        288          0.5          0.0        0.570        0.986    1.400E-07    2.423E-07       213.98        74.02
        320          0.5          0.0        0.530        0.992    1.129E-07    2.113E-07       238.05        81.95
        352          0.5          0.0        0.490        0.974    8.902E-08    1.769E-07       261.20        90.80
        384          0.5          0.0        0.451        0.975    6.850E-08    1.483E-07       283.09       100.91
        416          0.5          0.0        0.413        0.982    5.110E-08    1.216E-07       303.46       112.54
        448          0.5          0.0        0.378        0.984    3.659E-08    9.531E-08       322.23       125.77
        480          0.5          0.0        0.345        0.983    2.449E-08    6.989E-08       339.46       140.54
        512          0.5          0.0        0.313        0.991    1.453E-08    4.599E-08       355.33       156.67
        544          0.5          0.0        0.283        1.000    6.422E-09    2.274E-08       370.09       173.91
        575          0.5          0.0        0.251        0.979    1.745E-10    6.810E-10       383.58       191.42

# E_nn = 0.5 E_site = 1.0
          1          0.5          1.0        1.003        1.003    4.012E-07    4.012E-07     4.24E-01     5.76E-01
         32          0.5          1.0        0.937        0.990     3.62E-07     3.83E-07        13.90        18.10
         64          0.5          1.0        0.881        0.986    3.271E-07    3.659E-07        28.67        35.33
         96          0.5          1.0        0.824        0.985    2.928E-07    3.500E-07        44.54        51.46
        128          0.5          1.0        0.776        0.977    2.629E-07    3.312E-07        61.77        66.23
        160          0.5          1.0        0.730        0.988    2.350E-07    3.178E-07        80.54        79.46
        192          0.5          1.0        0.687        0.975    2.090E-07    2.965E-07       100.92        91.08
        224          0.5          1.0        0.649        0.975    1.852E-07    2.783E-07       122.77       101.23
        256          0.5          1.0        0.609        0.980    1.622E-07    2.607E-07       145.93       110.07
        288          0.5          1.0        0.571        0.982    1.402E-07    2.411E-07       169.99       118.01
        320          0.5          1.0        0.531        0.983    1.191E-07    2.204E-07       194.69       125.31
        352          0.5          1.0        0.492        0.990    9.904E-08    1.994E-07       219.66       132.34
        384          0.5          1.0        0.453        0.963    8.032E-08    1.707E-07       244.56       139.44
        416          0.5          1.0        0.415        0.976    6.296E-08    1.483E-07       269.22       146.78
